shape_id,shape_pt_sequence,shape_pt_lat,shape_dist_traveled,shape_pt_lon
ngv3_0,1,14.0659697,0.0,100.5991687
ngv3_0,2,14.0659712,0.01,100.5992482
ngv3_0,3,14.0659632,0.15000000000000002,100.600545
ngv3_0,4,14.0659617,0.18000000000000002,100.6007927
ngv3_0,5,14.0659538,0.22000000000000003,100.6012079
ngv3_0,6,14.0657426,0.4,100.6028543
ngv3_0,7,14.0657448,0.53,100.6041053
ngv3_0,8,14.065745,0.55,100.6042468
ngv3_0,9,14.0658191,0.5800000000000001,100.6045384
ngv3_0,10,14.0661416,0.6200000000000001,100.6045363
ngv3_0,11,14.066142,0.6400000000000001,100.6047492
ngv3_0,12,14.066142,0.6500000000000001,100.6048422
ngv3_0,13,14.0661423,0.6700000000000002,100.6050258
ngv3_0,14,14.0661437,0.6700000000000002,100.6050579
ngv3_0,15,14.0661458,0.6700000000000002,100.6050922
ngv3_0,16,14.0661465,0.6800000000000002,100.6051903
ngv3_0,17,14.0665444,0.7200000000000002,100.6052045
ngv3_0,18,14.0667327,0.7400000000000002,100.6052113
ngv3_0,19,14.0672895,0.8000000000000003,100.6052101
ngv3_0,20,14.0673216,0.8000000000000003,100.60521
ngv3_0,21,14.0674554,0.8100000000000003,100.6052188
ngv3_0,22,14.0674543,0.8200000000000003,100.6051253
ngv3_0,23,14.0674564,0.8400000000000003,100.6049522
ngv3_0,24,14.0674574,0.8500000000000003,100.604874
ngv3_0,25,14.0674739,0.9900000000000003,100.6035662
ngv3_0,26,14.0674725,1.0100000000000002,100.6034252
ngv3_0,27,14.067473,1.0200000000000002,100.6033773
ngv3_0,28,14.0674801,1.0900000000000003,100.6027262
ngv3_0,29,14.0674823,1.1900000000000004,100.6018139
ngv3_0,30,14.0674912,1.2000000000000004,100.6017203
ngv3_0,31,14.0675252,1.2100000000000004,100.6016871
ngv3_0,32,14.0675755,1.2200000000000004,100.6016696
ngv3_0,33,14.0679102,1.2600000000000005,100.6016641
ngv3_0,34,14.0680525,1.2800000000000005,100.6016634
ngv3_0,35,14.069073,1.3900000000000006,100.6016641
ngv3_0,36,14.0691864,1.4000000000000006,100.6016643
ngv3_0,37,14.0693137,1.4100000000000006,100.6016645
ngv3_0,38,14.0695159,1.4300000000000006,100.6016653
ngv3_0,39,14.0702306,1.5100000000000007,100.6016591
ngv3_0,40,14.0702957,1.5200000000000007,100.6016564
ngv3_0,41,14.0702987,1.5200000000000007,100.6016564
ngv3_0,42,14.0703504,1.5300000000000007,100.6016565
ngv3_0,43,14.0704111,1.5400000000000007,100.6016562
ngv3_0,44,14.0704688,1.5500000000000007,100.6016545
ngv3_0,45,14.070867,1.5900000000000007,100.60165
ngv3_0,46,14.0714312,1.6500000000000008,100.6016533
ngv3_0,47,14.0720163,1.7200000000000009,100.6016458
ngv3_0,48,14.0720451,1.7200000000000009,100.6016458
ngv3_0,49,14.0720874,1.7200000000000009,100.6016423
ngv3_0,50,14.0728819,1.810000000000001,100.6016229
ngv3_0,51,14.0729449,1.820000000000001,100.6016216
ngv3_0,52,14.0729671,1.820000000000001,100.6016216
ngv3_0,53,14.0730179,1.830000000000001,100.6016199
ngv3_0,54,14.0736948,1.910000000000001,100.6016145
ngv3_0,55,14.0746108,2.010000000000001,100.6016317
ngv3_0,56,14.0747602,2.030000000000001,100.6016361
ngv3_0,57,14.0747719,2.030000000000001,100.6015917
ngv3_0,58,14.0748022,2.030000000000001,100.6015578
ngv3_0,59,14.0748443,2.030000000000001,100.6015423
ngv3_0,60,14.074883,2.030000000000001,100.6015464
ngv3_0,61,14.0749167,2.030000000000001,100.6015663
ngv3_0,62,14.0749398,2.030000000000001,100.6015987
ngv3_0,63,14.0749481,2.030000000000001,100.6016378
ngv3_0,64,14.0749436,2.030000000000001,100.6016685
ngv3_0,65,14.0749298,2.030000000000001,100.6016962
ngv3_0,66,14.0749082,2.030000000000001,100.6017179
ngv3_0,67,14.0748811,2.030000000000001,100.6017315
ngv3_0,68,14.0748513,2.030000000000001,100.6017355
ngv3_0,69,14.0748048,2.040000000000001,100.6017211
ngv3_0,70,14.0747715,2.0500000000000007,100.6016848
ngv3_0,71,14.0747602,2.0600000000000005,100.6016361
ngv3_1,1,14.0747602,0.0,100.6016361
ngv3_1,2,14.0747715,0.01,100.6016848
ngv3_1,3,14.0748048,0.02,100.6017211
ngv3_1,4,14.0748513,0.03,100.6017355
ngv3_1,5,14.0748811,0.03,100.6017315
ngv3_1,6,14.0749082,0.03,100.6017179
ngv3_1,7,14.0749298,0.03,100.6016962
ngv3_1,8,14.0749436,0.03,100.6016685
ngv3_1,9,14.0749481,0.03,100.6016378
ngv3_1,10,14.0749398,0.03,100.6015987
